gene	cellType.target	mean.target	cellType.2nd	mean.2nd	MeanRatio	MeanRatio.rank	MeanRatio.anno
Ogn	Stromal	1.06954835750219	Epithelial	0.0403873292062008	26.4822749739535	1	Stromal/Epithelial: 26.482
Mfap4	Stromal	0.830746381494799	DC	0.0322183402786701	25.7848906650474	2	Stromal/DC: 25.785
Rarres2	Stromal	1.3329251034063	Epithelial	0.052891318316895	25.2012077940685	3	Stromal/Epithelial: 25.201
Medag	Stromal	0.842917615824494	Endothelial	0.0341390691357138	24.6907029735821	4	Stromal/Endothelial: 24.691
Col5a1	Stromal	1.04835871107232	Macrophage	0.044235634605865	23.6994161022689	5	Stromal/Macrophage: 23.699
Matn2	Stromal	1.0948250078378	Endothelial	0.0467184528002151	23.4345305166604	6	Stromal/Endothelial: 23.435
Dpt	Stromal	1.84079042217823	Epithelial	0.0848466394856719	21.6955018293811	7	Stromal/Epithelial: 21.696
Pdgfra	Stromal	1.33612289635546	Endothelial	0.0623937416230658	21.4143736470761	8	Stromal/Endothelial: 21.414
Htra3	Stromal	0.7486163620117	Epithelial	0.0354410340512726	21.1228701997994	9	Stromal/Epithelial: 21.123
Mfap5	Stromal	1.22251571324601	Endothelial	0.0588280967300589	20.7811535847522	10	Stromal/Endothelial: 20.781
Ddit4l	Stromal	0.974237563876212	Macrophage	0.0470868600822864	20.6902214794889	11	Stromal/Macrophage: 20.69
Prrx1	Stromal	0.647717362313039	Endothelial	0.0336585883602087	19.2437471049372	12	Stromal/Endothelial: 19.244
Ddr2	Stromal	0.764475107455911	Epithelial	0.0403679316062681	18.9376833797749	13	Stromal/Epithelial: 18.938
Col6a1	Stromal	2.27809325179863	Endothelial	0.122163162061756	18.6479558432435	14	Stromal/Endothelial: 18.648
Mdk	Stromal	1.70352311954582	Endothelial	0.0928363108514553	18.3497502638982	15	Stromal/Endothelial: 18.35
Mfap2	Stromal	0.715961935219841	Endothelial	0.0420284634547418	17.035167987781	16	Stromal/Endothelial: 17.035
Des	Stromal	1.08731556917484	Macrophage	0.0666262989186387	16.3196153294155	17	Stromal/Macrophage: 16.32
Col6a2	Stromal	2.1803014101045	Endothelial	0.135176007145968	16.1293520657859	18	Stromal/Endothelial: 16.129
Ccdc80	Stromal	1.10740804435534	Endothelial	0.0700863811728289	15.8006166936275	19	Stromal/Endothelial: 15.801
Col6a4	Stromal	1.4064514051993	Macrophage	0.0916293280693169	15.3493584950806	20	Stromal/Macrophage: 15.349
Col1a1	Stromal	2.53614893189896	Endothelial	0.165794180704121	15.2969719511749	21	Stromal/Endothelial: 15.297
Lox	Stromal	0.945962799341022	Endothelial	0.0644079642628155	14.6870470161274	22	Stromal/Endothelial: 14.687
Col6a3	Stromal	1.8038827771143	Endothelial	0.123307232974342	14.6291724629783	23	Stromal/Endothelial: 14.629
Lum	Stromal	1.94259958655511	Endothelial	0.144526043874742	13.4411731925543	24	Stromal/Endothelial: 13.441
Col1a2	Stromal	2.82556521097876	Endothelial	0.222490464432396	12.6997137526193	25	Stromal/Endothelial: 12.7
C1s1	Stromal	1.07617098022328	Endothelial	0.0849547780924534	12.6675744953641	26	Stromal/Endothelial: 12.668
Mmp2	Stromal	0.98174777780576	Endothelial	0.0838819731887948	11.7039184998202	27	Stromal/Endothelial: 11.704
Dcn	Stromal	3.76501035372332	B cell	0.322254019442869	11.6833619646777	28	Stromal/B cell: 11.683
Col3a1	Stromal	2.52048592739185	Endothelial	0.228447274704574	11.0331188264396	29	Stromal/Endothelial: 11.033
Col5a2	Stromal	1.2437351958494	Epithelial	0.118009139363448	10.5393124851026	30	Stromal/Epithelial: 10.539
Spon1	Stromal	0.764281232907355	Macrophage	0.0747741700401334	10.2211931272142	31	Stromal/Macrophage: 10.221
Cdh11	Stromal	0.764305891070223	Endothelial	0.0838281175012137	9.11753614244238	32	Stromal/Endothelial: 9.118
Meg3	Stromal	1.22155442655376	Endothelial	0.137216916345331	8.90236028537109	33	Stromal/Endothelial: 8.902
Vcan	Stromal	0.87452653872957	Macrophage	0.110041612393692	7.94723486603237	34	Stromal/Macrophage: 7.947
Slc16a2	Stromal	0.601908140944619	Endothelial	0.0888036034821746	6.77796978210956	35	Stromal/Endothelial: 6.778
Tie1	Endothelial	0.851713874084259	DC	0.000559589508506205	1522.03331395162	1	Endothelial/DC: 1522.033
Cldn5	Endothelial	1.1570684650956	NKC	0.00143722017525275	805.07390935569	2	Endothelial/NKC: 805.074
Myct1	Endothelial	0.989355927582358	Epithelial	0.0012872469902863	768.582824468142	3	Endothelial/Epithelial: 768.583
